D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT_개별국제교통비제외2,Q8a03,Q8a12,Q8_1a1,Q8_1a2,Q8_1a3,동행자유형,국가명,웰니스참여,웰니스만족,log_총액,year
2,3,2,,,,,,6.0,,,2,1,851.2,,,2,1.0,,친구,일본,0,0,6.74664711858738,2024
5,9,2,,,,,,6.0,,,1,1,1721.6634746922027,3.0,,6,2.0,1.0,친구,홍콩,1,0,7.451046238881318,2024
10,8,2,,,,,5.0,,,,1,1,1884.6829268292681,3.0,,8,5.0,2.0,가족,싱가포르,1,0,7.541514877154824,2024
1,7,2,,,,,,6.0,,,1,1,3888.7799999999997,3.0,,14,16.0,15.0,친구,중국,1,0,8.265850762743323,2024
2,5,1,1.0,,,,,,,,1,2,286.08,,,1,2.0,6.0,혼자,일본,0,0,5.656271491985149,2024
5,8,1,1.0,,,,,,,,1,1,2544.948979591837,,,4,,,혼자,홍콩,0,0,7.8418658814720175,2024
3,5,2,,,,4.0,,,,,1,1,847.0073964497041,3.0,,2,1.0,3.0,가족,대만,1,1,6.741709427140141,2024
4,4,1,1.0,,,,,,,,1,1,825.4644808743169,3.0,,5,3.0,7.0,혼자,미국,1,1,6.715946235026018,2024
2,3,2,,,,,5.0,,,,2,1,812.8000000000002,3.0,,6,1.0,2.0,가족,일본,1,0,6.700485076824218,2024
2,3,1,1.0,,,,,,,,1,2,470.4,3.0,,1,2.0,3.0,혼자,일본,1,1,6.153583396584417,2024
2,3,2,,,,,,6.0,,,1,1,598.8175119202427,3.0,,13,5.0,1.0,친구,일본,1,0,6.394956897141632,2024
3,4,2,,2.0,,,,,,,1,1,653.5350000000001,,,2,6.0,16.0,가족,대만,0,0,6.482396089395987,2024
3,8,2,,,,,,6.0,,,1,1,862.7411140583555,,12.0,2,9.0,1.0,친구,대만,1,0,6.760114662369413,2024
4,12,2,,,3.0,,,,,,1,2,910.1243339253996,3.0,,5,2.0,3.0,가족,미국,1,1,6.813581220865026,2024
2,3,2,,,,,,6.0,,,1,1,492.80000000000007,,,2,1.0,,친구,일본,0,0,6.20010341221931,2024
2,3,2,,2.0,,,5.0,,,,1,1,694.2336259284266,3.0,,3,1.0,2.0,가족,일본,1,1,6.542808540641832,2024
3,7,2,,2.0,,4.0,,,,,1,1,383.16000000000014,,,7,1.0,2.0,가족,대만,0,0,5.948452656514691,2024
5,6,2,,,,,,6.0,,,1,1,1726.6500000000003,,,13,2.0,9.0,친구,홍콩,0,0,7.453938394029181,2024
