F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75
1,1,11,12,12,11,2,12,12,11,3,,,,,,,,,,,,,,,,,14,,,,,,,,,,7,,,,,,,,,,,,,,,5,,,,1000,1000,1,83.3333333333333,83.3333333333333,2,5,4,4,7,3,9,1,4,3,2,1,1,
1,1,11,12,12,11,2,12,12,11,3,,,,,,,,,,,,,,,,,14,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,5000,5000,4,416.666666666667,416.666666666667,4,5,4,5,6,2,9,2,2,3,2,2,1,
1,1,11,12,12,11,2,12,12,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4528.4,4528.4,4,377.366666666667,377.366666666667,4,5,4,5,12,4,12,1,4,3,2,1,1,
1,1,11,12,12,11,2,12,12,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5785.5,5785.5,5,482.125,482.125,4,5,5,5,11,4,97,2,5,3,2,2,1,
1,1,11,12,12,11,2,12,12,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5785.5,5785.5,5,482.125,482.125,4,5,5,5,11,4,97,2,5,3,2,2,1,
1,1,11,12,12,11,2,12,12,11,3,,,,,,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,15,,,1,,,,,,7,,3616.5,3616.5,4,301.375,301.375,4,5,5,5,5,2,12,1,3,3,2,1,1,
1,1,11,12,12,11,2,12,12,11,3,,,,,2,,,,,,,,,,,,14,,,,,,,,,,,,,10,,12,,,,,,,,,,,6,,,9256.8,9256.8,5,771.4,771.4,5,5,5,5,11,4,13,1,3,3,2,2,1,
1,1,11,12,12,11,2,12,12,11,3,,,,,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,14,,,,1,,,,,,7,,6000,6000,5,500,500,4,5,5,5,4,2,9,1,5,3,2,1,1,
1,1,11,12,12,11,2,12,12,11,3,,,,1,,,,,,,,,,,,,14,,,,,,,,,,7,,,,,,,,,,,,,,,5,,,,3000,3000,3,250,250,3,5,5,5,7,3,9,2,4,3,2,1,1,
1,1,11,12,12,11,2,12,12,11,3,,,,1,2,3,4,5,6,,,,,,,,14,,,,1,,,,,,,8,,,,,,,,,,1,,,,5,,,,2000,2000,2,166.666666666667,166.666666666667,3,5,5,5,11,4,97,1,3,3,2,2,1,
1,1,110,111,,14,1,97,,14,4,,,,,,3,4,,6,,,,,11,,,,15,,,1,,,,,,,,,,,,13,14,,,,1,,,,,6,7,,4528.4,4528.4,4,40.7963963963964,,,4,3,5,12,4,13,1,1,4,1,2,1,
1,1,110,111,,14,1,97,,14,4,,,,,2,3,4,,,,,,,,,,,15,,,1,,,,5,,,,,,,,,,,,,1,,,,5,,,,800,800,1,7.20720720720721,,,5,4,4,7,3,15,2,2,4,1,1,1,
1,1,110,111,,14,1,97,,14,4,,,,,2,3,4,,6,,8,,,,,,,15,,,1,,,4,,,,,,,,,,,,,,1,,,4,,,,,5660.5,5660.5,5,50.9954954954955,,,4,5,5,12,4,13,2,2,4,1,2,1,
1,1,112,113,,14,1,99,,14,3,,,,,,,4,,6,,,,,11,,,14,,,,1,,,,,,,,,,,,13,,,,,1,,,,,6,,,9256.8,9256.8,5,81.9185840707965,,,5,3,4,11,4,97,1,2,3,1,1,1,
1,1,115,116,,14,1,102,,14,3,,,,,2,3,4,5,6,,,,,11,,,14,,,,1,2,,,5,,,,,,,,,,,,17,1,2,,,5,,,8,5000,5000,4,43.1034482758621,,,5,5,5,5,2,9,2,2,3,1,2,1,1
1,1,119,120,,14,1,106,,14,2,1,2,5,,2,3,4,5,6,,8,,,11,12,,,15,,,1,2,,4,,,,,9,10,,,,,15,,,1,2,,4,,6,7,,4161.3,4161.3,4,34.6775,,,5,5,5,5,2,11,2,3,2,1,2,1,
1,1,119,120,,14,1,106,,14,2,13,,,1,2,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,1695.216,1695.216,2,14.1268,,,4,4,4,9,3,2,2,5,2,1,1,1,
1,1,119,120,,14,1,106,,14,2,2,13,,1,2,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,2119.02,2119.02,3,17.6585,,,4,4,4,9,3,2,1,6,2,1,1,1,
1,1,119,120,,14,1,106,,14,3,,,,,,,,,6,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,17,1,,,,,,,8,10000,10000,5,83.3333333333333,,,4,4,5,4,2,97,2,2,3,1,2,1,1
1,1,119,120,,14,1,106,,14,3,,,,,2,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,16,,,,,,,,7,,4169.725,4169.725,4,34.7477083333333,,,5,5,5,11,4,18,1,3,3,1,2,1,1
1,1,119,120,,14,1,106,,14,3,,,,,2,,,,,,,,,,,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,4000,4000,4,33.3333333333333,,,5,5,5,12,4,9,1,5,3,1,2,1,
1,1,119,120,,14,1,106,,14,3,,,,,2,,,,,,,,,,,,14,,,,1,2,3,,,,,,,10,11,,13,,,,,1,2,3,,,6,,,12384,,6,103.2,,,4,4,4,9,3,2,1,3,3,1,1,1,
1,1,119,120,,14,1,106,,14,3,,,,,2,,4,,,,,,,11,12,,14,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,5000,5000,4,41.6666666666667,,,4,4,4,12,4,9,2,3,3,1,2,1,
1,1,119,120,,14,1,106,,14,3,,,,,2,3,4,5,6,,,,,,,,14,,,,1,,3,,,,,,,,11,,13,,,,,1,,3,,,6,,,5000,5000,4,41.6666666666667,,,5,5,5,6,2,9,1,2,3,1,1,1,
1,1,119,120,,14,1,106,,14,3,,,,1,2,,,,,,,,,,,,14,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,12344,,6,102.866666666667,,,5,4,4,5,2,2,1,3,3,1,1,1,1
1,1,119,120,,14,1,106,,14,3,,,,1,2,3,,,,,,,,,,,14,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,3000,3000,3,25,,,5,5,5,11,4,6,1,2,3,1,1,1,
1,1,119,120,,14,1,106,,14,3,,,,1,2,3,,,,,,,,,,,14,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,3000,3000,3,25,,,5,5,5,11,4,6,1,2,3,1,1,1,
1,1,119,120,,14,1,106,,14,3,,,,1,2,3,,,,,,,,,,,14,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,3000,3000,3,25,,,5,5,5,11,4,6,2,2,3,1,1,1,
