F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63
1,1,2,2,1,5,240,241,,13,,1,2,,,,,,,,,,,,,,,1,2,,,,,,,3518.4,3518.4,6,,,5,4,1,2,3,,,,,,,,,,2,9,3,2,1,20,2,1,
1,1,2,3,5,1,150,151,,13,1,1,,,,,,,,,,,,,,,,1,,,,,,,,8866.11283015188,8866.11283015188,6,,,5,4,1,2,,,,,,,,,,,2,12,4,2,2,40,2,1,1
1,1,2,3,5,1,364,365,,13,,2,7,,,,,,,,,,,,,,,,2,,,5,,,,11525.9466791974,,98,,,5,5,1,2,3,12,,,,,,,,,2,12,4,2,1,50,2,1,
1,1,2,4,1,3,28,29,29,11,1,2,3,9,,,,,,,,,,,,,,,2,3,,,6,,,1500,1500,3,51.7241379310345,1,5,5,3,4,6,1,,,,,,,,,8,9,3,9,2,30,2,1,1
1,1,2,4,7,9,89,90,,12,,1,2,3,,,,,,,,,,,,,,1,2,3,,,,,,3000,3000,5,,,5,,,,,,,,,,,,,,18,5,2,97,1,30,2,1,
1,1,2,5,3,,30,31,31,11,1,4,,,,,,,,,,,,,,,,,,,4,,,,,2242.5,2242.5,5,72.3387096774194,1,4,4,1,3,,,,,,,,,,,2,11,4,2,1,40,2,1,1
1,1,2,5,3,1,210,211,,13,,1,3,13,14,,,,,,,,,,,,,1,,3,,,6,7,,9041.44268547287,9041.44268547287,6,,,5,5,1,2,3,5,10,,,,,,,,13,8,3,14,1,20,2,1,
1,1,2,9,4,12,364,365,,13,,1,3,9,,,,,,,,,,,,,,1,,3,,,6,,,11600,,98,,,5,,,,,,,,,,,,,,8,7,3,9,1,20,2,1,
1,1,3,,,,1,2,2,2,,3,,,,,,,,,,,,,,,,,,3,,,,,,1100,1100,3,550,6,5,,,,,,,,,,,,,,8,6,2,9,1,20,3,1,
1,1,3,,,,10,11,11,11,,1,,,,,,,,,,,,,,,,1,,,,,,,,5200,5200,6,472.727272727273,5,5,,,,,,,,,,,,,,9,5,2,10,2,30,3,1,
