기준년월,행정동명,방문자 구분,방문자 수,시설이름,시도,시군,지정년도
202311,지평면,현지인방문자(a),155169,미리내 힐빙클럽,경기도,양평군,2024
202312,지평면,외지인방문자(b),108720,미리내 힐빙클럽,경기도,양평군,2024
202312,지평면,전체방문자(a+b),264198,미리내 힐빙클럽,경기도,양평군,2024
202312,지평면,현지인방문자(a),155477,미리내 힐빙클럽,경기도,양평군,2024
202401,지평면,외지인방문자(b),87766,미리내 힐빙클럽,경기도,양평군,2024
202401,지평면,전체방문자(a+b),222772,미리내 힐빙클럽,경기도,양평군,2024
202401,지평면,현지인방문자(a),135006,미리내 힐빙클럽,경기도,양평군,2024
202402,지평면,외지인방문자(b),117996,미리내 힐빙클럽,경기도,양평군,2024
202402,지평면,전체방문자(a+b),253732,미리내 힐빙클럽,경기도,양평군,2024
202402,지평면,현지인방문자(a),135737,미리내 힐빙클럽,경기도,양평군,2024
202403,지평면,외지인방문자(b),128614,미리내 힐빙클럽,경기도,양평군,2024
202403,지평면,전체방문자(a+b),281866,미리내 힐빙클럽,경기도,양평군,2024
202403,지평면,현지인방문자(a),153251,미리내 힐빙클럽,경기도,양평군,2024
202304,지평면,외국인방문객,994,미리내 힐빙클럽,경기도,양평군,2024
202306,지평면,외국인방문객,1044,미리내 힐빙클럽,경기도,양평군,2024
202305,지평면,외국인방문객,768,미리내 힐빙클럽,경기도,양평군,2024
202307,지평면,외국인방문객,1014,미리내 힐빙클럽,경기도,양평군,2024
202308,지평면,외국인방문객,1007,미리내 힐빙클럽,경기도,양평군,2024
202309,지평면,외국인방문객,678,미리내 힐빙클럽,경기도,양평군,2024
202310,지평면,외국인방문객,700,미리내 힐빙클럽,경기도,양평군,2024
202311,지평면,외국인방문객,366,미리내 힐빙클럽,경기도,양평군,2024
202401,지평면,외국인방문객,402,미리내 힐빙클럽,경기도,양평군,2024
202402,지평면,외국인방문객,503,미리내 힐빙클럽,경기도,양평군,2024
202403,지평면,외국인방문객,533,미리내 힐빙클럽,경기도,양평군,2024
202312,지평면,외국인방문객,435,미리내 힐빙클럽,경기도,양평군,2024
202404,지평면,외국인방문객,1210,미리내 힐빙클럽,경기도,양평군,2024
202411,지평면,외국인방문객,619,미리내 힐빙클럽,경기도,양평군,2024
202407,지평면,외국인방문객,1128,미리내 힐빙클럽,경기도,양평군,2024
202406,지평면,외국인방문객,1219,미리내 힐빙클럽,경기도,양평군,2024
202405,지평면,외국인방문객,1341,미리내 힐빙클럽,경기도,양평군,2024
202408,지평면,외국인방문객,1110,미리내 힐빙클럽,경기도,양평군,2024
