D_NAT,M일HAP,Q7A,Q7a_dk,Q7a2,Q7a3,Q7a4,Q7a5,Q7a6,Q7a7,Q7a8,D_GUB,D_MOK,총액1인TOT항공제외2,C문화서1인대체,C오락및1인대체,C미용서1인대체,weight,동행자유형,국가명,여가체험비율,log_총액,year
16,14,2,,2.0,,,,,,,1,1,1384.01,2,3,1,121.0292217,가족,영국,0.004335228791699482,7.232740361585037,2023
1,5,2,,,,,,,7.0,,1,1,1055.25,1,1,1,1160.470675,직장동료,중국,0.0028429282160625444,6.961532984662608,2023
6,6,2,,,,4.0,,,,,1,1,337.17,1,1,1,257.561364,가족,태국,0.008897588753447816,5.820587254198285,2023
3,5,2,,,,,,,7.0,,3,1,4123.9,1,1,1,770.6015918,직장동료,대만,0.0007274667183976333,8.324554596540237,2023
16,12,2,,,,,5.0,,,,1,1,1239.25,2,2,1,69.16589064,가족,영국,0.004034698406294129,7.122261636900683,2023
3,5,2,,2.0,,,,,,,3,1,1499.6,1,1,1,670.6896701,가족,대만,0.0020005334755934918,7.312953684861757,2023
1,6,2,,,,,,6.0,,,1,1,1969.8,1,1,1,1564.482728,친구,중국,0.0015229972586049345,7.585687293735602,2023
16,17,1,1.0,,,,,,,,1,1,1978.95,2,4,1,195.6258229,혼자,영국,0.0035372293387907726,7.590321679997896,2023
18,15,2,,2.0,,,,,,,1,1,1775.4,2,4,1,131.602349,가족,독일,0.003942773459502084,7.481781028634219,2023
16,15,2,,,,,5.0,,,,1,1,1356.88,2,4,1,69.16589064,가족,영국,0.005158893933140734,7.212943225563584,2023
16,14,2,,2.0,,,,,,,1,1,901.8,3,1,1,195.6258229,가족,영국,0.005544466622310934,6.804392765986984,2023
1,60,1,1.0,,,,,,,,1,2,675.36,1,1,1,1003.425139,혼자,중국,0.004442075337597725,6.515245882034189,2023
1,5,2,,2.0,,,,,,,1,1,2075.33,1,1,1,1564.482728,가족,중국,0.001445553237316475,7.63787545616447,2023
2,4,1,1.0,,,,,,,,1,2,498.96,1,3,1,640.9065337,혼자,일본,0.010020843354176688,6.212525932217867,2023
1,6,1,1.0,,,,,,,,1,2,534.66,1,1,1,1303.52377,혼자,중국,0.0056110425317023906,6.281631030852683,2023
1,6,1,1.0,,,,,,,,1,1,1125.6,1,1,1,1303.52377,혼자,중국,0.0026652452025586358,7.0260715058001795,2023
2,3,2,,,,,,6.0,,,1,1,294.48,2,1,1,814.697917,친구,일본,0.013583265417006248,5.685211089070766,2023
16,4,2,,2.0,,,,,,,1,1,345.01,3,1,1,194.5397869,가족,영국,0.014492333555549115,5.843573402118534,2023
5,5,2,,2.0,,,,6.0,,,1,1,689.58,1,3,1,441.4699474,가족,홍콩,0.007250790336146639,6.536082716608722,2023
2,4,2,,,,,5.0,,,,1,1,378.72,2,1,1,814.697917,가족,일본,0.010561892691170256,5.936797145765674,2023
1,16,1,1.0,,,,,,,,1,2,4586.82,1,1,1,1003.425139,혼자,중국,0.0006540479024683769,8.430942252493006,2023
2,3,2,,,,,,6.0,,,2,1,612.0,1,1,1,814.697917,친구,일본,0.004901960784313725,6.416732282512326,2023
5,6,2,,2.0,,,,,,,1,1,1174.84,1,1,1,352.6533451,가족,홍콩,0.0025535392053385995,7.068887247093488,2023
6,6,2,,,,,,6.0,,,1,1,867.0,1,1,1,309.0726521,친구,태국,0.0034602076124567475,6.7650389767805414,2023
6,5,1,1.0,,,,,,,,1,1,867.0,1,1,1,257.561364,혼자,태국,0.0034602076124567475,6.7650389767805414,2023
6,9,1,1.0,,,,,,,,1,1,2312.0,1,1,1,266.9496516,혼자,태국,0.0012975778546712802,7.7458682297922685,2023
6,5,2,,2.0,,,,,,,1,1,722.5,1,1,1,338.9597385,가족,태국,0.004152249134948097,6.582717419986587,2023
1,5,1,1.0,,,,,,,,1,1,1294.44,1,1,1,1012.205859,혼자,중국,0.0023176045239640306,7.165833448175338,2023
1,4,2,,,,,,6.0,,,1,1,1620.86,1,1,1,1564.482728,친구,중국,0.0018508692916106265,7.3907121515654115,2023
2,3,2,,,,,5.0,,,,1,1,813.6,1,1,1,640.9065337,가족,일본,0.003687315634218289,6.70146884473435,2023
5,6,2,,,3.0,,,,,,1,1,1289.77,1,1,1,448.5235056,가족,홍콩,0.0023259961078331798,7.162219186885707,2023
5,6,2,,,3.0,,5.0,,,,1,1,1557.94,1,1,1,352.6533451,가족,홍콩,0.0019256197286159928,7.351119714777704,2023
10,5,1,1.0,,,,,,,,1,1,1573.68,1,1,4,464.7780718,혼자,싱가포르,0.003812719231355803,7.361172104623473,2023
1,77,1,1.0,,,,,,,,1,2,168.84,1,1,1,1747.895395,혼자,중국,0.0177683013503909,5.128951520914298,2023
1,3,1,1.0,,,,,,,,1,1,488.23,1,1,1,1564.482728,혼자,중국,0.006144644941933105,6.190786606296189,2023
10,7,2,,,3.0,,,,,,1,1,849.19,2,1,1,356.8696634,가족,싱가포르,0.00471037105948021,6.744282953970788,2023
10,8,2,,2.0,,,,,,,1,1,2445.88,1,1,1,676.0739648,가족,싱가포르,0.0012265524064958215,7.802160255354363,2023
10,7,2,,,3.0,4.0,,,,,3,1,3635.79,1,1,1,403.4823492,가족,싱가포르,0.0008251301642834157,8.198581697853863,2023
4,15,2,,,,,5.0,,,,1,1,2250.0,1,1,1,1266.653526,가족,미국,0.0013333333333333333,7.718685495198466,2023
3,5,2,,,,,,6.0,,,3,1,811.74,1,1,1,673.7355008,친구,대만,0.003695764653706852,6.699180091843324,2023
3,5,2,,,,,,6.0,,,3,1,945.4,1,1,1,770.6015918,친구,대만,0.0031732599957689867,6.8516081183591355,2023
4,12,2,,,,4.0,,,,,1,1,2000.0,3,3,1,603.6010188,가족,미국,0.0035,7.600902459542082,2023
3,5,2,,,,,,,7.0,,3,1,945.4,1,1,1,770.6015918,직장동료,대만,0.0031732599957689867,6.8516081183591355,2023
3,4,2,,,,,,6.0,,,3,1,1141.0,1,1,1,708.1535647,친구,대만,0.0026292725679228747,7.039660349862076,2023
7,5,2,,,3.0,,5.0,,,,3,1,2165.0,1,1,1,431.1499025,가족,베트남,0.0013856812933025404,7.68017564043659,2023
3,4,2,,,,4.0,,,,,3,1,1669.12,1,1,1,1274.946913,가족,대만,0.0017973542944785276,7.420051820418124,2023
4,8,2,,,,4.0,5.0,,,,1,1,1173.33,1,1,1,603.6010188,가족,미국,0.002556825445526834,7.067601139010907,2023
2,3,2,,,,,,6.0,,,1,1,518.4,1,1,1,1623.129657,친구,일본,0.005787037037037038,6.250747145038065,2023
